date,employee_title,location,employee_status,review_title,pros,cons,advice_to_mgmt,rating_overall,recommends,positive_outlook,approves_of_CEO
2021-09-26, Technical Assistant Manager,Taoyuan,"Current Employee, more than 10 years",BIOS engineer,"Learn the knowledge in this industry.
","Need to work over time, and sometimes will be called in vacation.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-09-22, Quality Engineer,Taipei,Current Employee,Good company,"Average salary. Good work life balance
","Many processes during manufacturing. Slow pace
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-09-21, Senior Hardware Engineer,Taoyuan,Former Employee,stable,"very stable, very few fire
","not suitable people at not suitable positions
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-09-14, Functional Safety Manager,Taoyuan,Current Employee,Fair job but not sure about the future,"no heavy work load in general
","the functional safety department is relatively new in the company so not sure about the development in the future
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-31, Program Manager,"La Vergne, TN",Former Employee,Decent company,"Decent company
Job security
friendly team
Get to interact with overseas teams
","No Growth
Below industry-standard pay
Bad manager
No work-life balance
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-29, Assistant Engineer,Taipei,"Former Employee, more than 1 year",Place to learn skills.,"Learn how to test and design whole system of server.
Opportunity to interact with both customers and suppliers.
","Less salary than other technology company.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-08-25, Software Engineer,Taipei,Current Employee,Good for long stay,"Flexible work time and good welfare policy
","May not always make it into a good team
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-08-24, Project Sales,Taipei,Current Employee,Good place to get to know the supply chain industry,"It is rather stable compared to outside. If you have a family. It is recommended.
","The company culture is old .
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-23, Product Designer,Taipei,Current Employee,This job have business traip,"No need to work overtime in Taiwan. 
Company supply meal.
","Have to take half of year in China for business trip.
In China factory, have to work overtime everyday.
1 person found this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-08-23, Account Sales Manager,Taoyuan,"Former Employee, more than 1 year",Good company,"Tier 1 account experiences and good team work
","High pressure and working hour was long
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Agree,Agree
2021-08-16, Senior Software Engineer,Taipei,Current Employee,Good technology corporation in Taiwan,"Good benefit and can get a balance between family and job
","The attitude of welfare committee is not friendly
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
2021-08-16, IT Manager,"Fremont, CA",Current Employee,Faced Paced Environment,"Faced paced environment, plenty of opportunity to learn and improve the infrastructure.
","Lean staffing generates long hours and never enough time to perform everything needed to get done to be effective and efficient.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Neutral,Agree
2021-08-16, Quality Engineer,Taoyuan,Former Employee,company environment,"It is a transparent work environment
","the low salary range raise
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-08-14, Sales Associate,Taoyuan,"Former Employee, more than 3 years",Nice work environment and productive place,"Overall work environment is good. Company do encourage staff to keep learning and they have a great education system, also provide various courses to join. College are quite coordinate here in Taipei, great place to co-work with different functional teams.
","Do have resource problem and might need strong leadership to develop work career in here.
Advice to Management
Create an online portal that allows people to submit their ideas for improvement. Suggest to do this both anonymously. Then, acknowledge suggestions at employee meetings or during brainstorming sessions.
Be the first to find this review helpful
Helpful
Share
Repor","Create an online portal that allows people to submit their ideas for improvement. Suggest to do this both anonymously. Then, acknowledge suggestions at employee meetings or during brainstorming sessions.
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Agree,Agree
2021-08-14, Software Engineer,Taipei,Current Employee,good benefits,"stable, good food, good gym, good people
","low SW skill growth, bureaucracy, on-call
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-12, Assistant Manager,Taipei,"Current Employee, more than 5 years",work is not easy,"-Not fire employees easily & Good company for retired.
-Strong R&D engineer in the industry.
","-Many surplus staff
-Mfg internal process are too religious to smooth NPI build.
Advice to Management
To have a good emotional control
Be the first to find this review helpful
Helpful
Share
Repor","To have a good emotional control
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Disagree,Agree
2021-08-05, Sales,Taoyuan,Current Employee,Quanta sales,"work life balance, nice bonus, good colleague, have 7-11 and coffee shop.
","people do not have any passion, lots of regulation need to be followed.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-08-04, Specialist,Taoyuan,"Former Employee, more than 3 years",Average Start,"1. It's a big company that is good to learn the concept, especially for freshman.
2. Various vendor and customer may be your next opportunity.
","1. Lower Salary for freshman
2. Some department needs employee often work overtime
3. Lower Salary growth rate
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Neutral
2021-07-30, Business Development,Taoyuan,"Former Employee, more than 1 year",Overall a great and supportive peers environment,"1.Not-so-bad pay and benefits 
2. Work life balance
3. Supportive peers and managers who are willing to teach and share with patience (I do meet some good friends and mentors there)
4. Chance to learn if you are a junior staff
","1. Cross-division politics
2. Lack of clear and consistent corporate strategy
3. No clear incentive and career development for individual. Everyone shares a team quota and goal and there will be someone who only talk and no actions at all.
Advice to Management
WFH policy should be consider and action speaks louder than words.
Be the first to find this review helpful
Helpful
Share
Repor","WFH policy should be consider and action speaks louder than words.
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Agree,Neutral,Neutral
2021-07-27, Undisclosed,,"Former Employee, less than 1 year",Not innovative enough,"Still a fortune Global 500 company with established welfare system
Co-workers in the same division are diligent and smart
HRs are friendly but it could depend on who you are
","Senior management should be more open to advice or critics.
Thinking own products as superior is not enough, you have to make your customers think so too.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Neutral
2021-07-24, Manager,Taipei,"Current Employee, more than 10 years",Build up capabilities,"It’s a good place to learn and build up your professional capabilities as well as gain your hand-on experience. Most of peers are willing to teach you and help you to grow up right way.
","Overtime working style and traveling to factory site usually, one time one month at least.
The meal was not good which was provide by factory site.
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-07-20, Testing Operator,"San Jose, CA","Former Employee, more than 1 year",Culture versus values,"You are able to learn a lot of hardware knowledge
You will be trained as professional technician
Acceptable culture, people are nice.
","No opportunity as a way to contribute to moving forward
Less paid job
Advice to Management
Micro management
Be the first to find this review helpful
Helpful
Share
Repor","Micro management
Be the first to find this review helpful
Helpful
Share
Repor",3.0,Disagree,Agree,Disagree
2021-07-18, Assistant Manager,Taipei,Current Employee,Comment,"A stable environment. Company benefits are good.
","Culture is a bit bureaucracy. Little efficient.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-07-16, Senior Technical Manager,Taipei,"Current Employee, more than 10 years",Senior Technical Manager,"Quanta is a good environment for RD skill developing with rich resource.
","The compensation is too low compared with always overtime working, it is impossible to have work-life balance.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-07-13, Program Manager,"Nashville, TN",Current Employee,Dynamic Work Environment,"Lots of long term employees
","Time off due to manufacturing environment
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-07-10, Rescue Technician,"Smyrna, TN","Former Employee, more than 1 year",Downsized,"It beats being unemployed at least.
","You start as a temp and are disposable if you don't convert to permanent status.
Be the first to find this review helpful
Helpful
Share
Repor",,2.0,Disagree,Neutral,Neutral
2021-07-08, Specialist,Taipei,Former Employee,Not a bad place,"Work life balance, and pay is good enough.
","Work responsibilities always the same, no improvement in your skill
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-07-02, Product Design Engineer,Taoyuan,Current Employee,Not Bad,"Large company, Suitable for newcomers
","Poor organization of work, long working hours
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,N/A,Neutral
2021-06-29, Sales,,"Current Employee, more than 5 years",sales,"good resources, good environment, competitive colleagues
","remote location from city, intensive work loading
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-06-22, Material Planner,Taipei,Former Employee,Material Planner,"Opportunities to work with Tier1 customers and gain tons of experience.
","Low salary, long working hour
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Agree,Agree
2021-06-16, Junior Technical Manager,Tao-yeh,Current Employee,For software,"Job orientation
Manage by myself
Learn new technology
","Low Salary
More redundant staff
Clock in and out
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Disagree,Agree,Agree
2021-06-15, Computer Repair Technician,"Nashville, TN","Current Employee, more than 1 year",diagnosis and replace parts,"Quanta is one of the best places i have worked ever, fair and organize plus respect to the employees
","too much overtime and unstable schedule
Advice to Management
just keep going
Be the first to find this review helpful
Helpful
Share
Repor","just keep going
Be the first to find this review helpful
Helpful
Share
Repor",4.0,Agree,Neutral,Agree
2021-06-12, Thermal Engineer,Taipei,Current Employee,thermal,"Normally use flotherm as the soft ware to do thermal simulation
","Insufficient resource to help engineer to conduct thermal testing and simualtion
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Disagree,Neutral,Agree
2021-06-11, Management Associate,Taoyuan,"Current Employee, more than 1 year",Good salary but limited flexibility,"Relatively high salary for freshmen, good opportunity depends on the team you belong
","The corporate culture is pretty much the same as working in a factory where management team treat junior employees like training animals; new thoughts, creativities, critical thinking are not appreciated, following the rules without questioning them is considered doing the best for company.
Advice to Management
Be open minded.
Be the first to find this review helpful
Helpful
Share
Repor","Be open minded.
Be the first to find this review helpful
Helpful
Share
Repor",1.0,Disagree,Neutral,Agree
2021-06-10, Account Manager,Taipei,"Current Employee, more than 3 years",Good place for first job,"*Many things to learn at work
*Opportunities to interact with the tier 1 companies (FB/Google/MSF/Amazon)
","* Long hour working
*Low pay
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,Agree,Neutral,Agree
2021-06-09, Management Information Systems Analyst,"San Jose, CA",Former Employee,5,"It was a great company overall. I enjoyed working there since I like coding. It was a clean environment and nice colleagues.
","The company did not highlight qualification enough; therefore, some of employees may not put enough effort to complete tasks.
Be the first to find this review helpful
Helpful
Share
Repor",,3.0,N/A,N/A,N/A
2021-06-07, Sales Manager,Taoyuan,"Former Employee, more than 10 years",Quanta,"Overall, it's a nice company
","No Cons to be frank, overall is good
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,Agree,Agree,Agree
2021-06-04, Business Development,Taipei,Current Employee,traditional large company,"great salary and package
lots of opportunities for young talent
","seniority is more important than individual contribution and performance
Be the first to find this review helpful
Helpful
Share
Repor",,4.0,N/A,N/A,N/A
2021-05-30, Machine Learning Engineer,Taoyuan,"Current Employee, more than 1 year","Generally speaking, a good place to work at","Friendly workplace environment. Manager and colleagues are easy to work with. The benefits and monthly bonus are great for new/recent grads.
","Although still manageable, sometimes you'll need to work overtime, approximately 10~20 hours per month.
Be the first to find this review helpful
Helpful
Share
Repor",,5.0,Agree,Agree,Agree
